Reference, Quantity, Value, Footprint, Datasheet, LCSC
C2 C4 C1 C8 ,4,"100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C49678"
C3 ,1,"220uF","Capacitor_SMD:CP_Elec_6.3x7.7","~","C127327"
C5 C6 ,2,"22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C602037"
C7 ,1,"1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C28323"
D1 ,1,"LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C2296"
D2 ,1,"D_Schottky","Diode_SMD:D_SMA","~","C2480"
H1 ,1,"MountingHole","MountingHole:MountingHole_4mm_Pad","~"
H2 H3 ,2,"ToolingHole","solenoid_driver_footprint_library:tooling_hole","~"
J1 ,1,"Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
J2 ,1,"Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
J3 J4 ,2,"Conn_01x02","solenoid_driver_footprint_library:shortable","~"
L1 ,1,"4.7uH","solenoid_driver_footprint_library:footprint_for_MWSA0503_HANDSOLD","https://datasheet.lcsc.com/szlcsc/1908262302_Sunlord-MWSA0503S-4R7MT_C408410.pdf","C408410"
R1 R5 R2 R8 ,4,"100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C149504"
R3 ,1,"62k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C17783"
R4 ,1,"470","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C17710"
R6 ,1,"8k2","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C17828"
R7 ,1,"56k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C17756"
U1 ,1,"FP6291","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","https://datasheet.lcsc.com/szlcsc/1812101116_Feeling-Tech-FP6291LR-G1_C18701.pdf","C18701"
U2 ,1,"ULN2003A","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/uln2003a.pdf","C7512"
U3 ,1,"TPS2553DBVR","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-TPS2553DBVR_C55266.pdf","C55266"